CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
204,Female,30,74.1,27
267,Male,45,35.1,52
153,Female,36,68.5,25
10,Male,51,34.0,28
234,Female,23,47.2,53
227,Male,43,34.8,51
197,Female,39,85.7,41
110,Female,35,73.3,71
6,Female,37,26.8,18
176,Female,38,77.9,34
238,Female,33,37.3,67
58,Female,41,24.0,28
219,Female,27,84.1,43
46,Female,23,25.9,25
183,Male,54,89.1,10
222,Male,51,91.0,27
290,Male,18,59.0,66
212,Female,34,74.4,24
149,Female,24,72.7,69
166,Male,36,72.4,13
79,Female,18,59.4,93
114,Male,28,67.2,73
250,Male,44,48.5,44
251,Female,48,66.2,34
105,Male,38,93.4,76
43,Male,31,29.4,34
282,Female,50,75.2,33
296,Female,31,59.2,58
158,Female,47,68.0,30
239,Male,28,62.8,49
18,Male,32,23.7,35
165,Male,47,75.8,28
34,Male,57,24.4,22
25,Female,27,21.0,33
216,Female,54,96.7,25
120,Male,33,79.1,97
8,Male,30,22.7,24
91,Male,27,88.9,93
47,Male,40,34.7,27
74,Female,42,15.0,21
94,Female,31,70.1,87
77,Female,37,84.3,68
287,Female,25,46.8,43
61,Female,36,28.1,17
78,Female,33,68.4,88
64,Female,44,28.6,41
235,Female,45,51.3,56
230,Male,54,59.9,45
112,Male,21,65.9,69
232,Male,39,62.8,59
181,Male,39,67.2,21
145,Female,27,57.9,71
240,Female,39,51.8,67
76,Female,48,60.8,80
298,Male,32,62.7,58
279,Male,48,63.1,49
98,Male,25,78.9,94
93,Male,45,75.3,84
193,Female,32,59.8,32
26,Female,37,21.7,12
233,Male,45,54.6,51
60,Female,31,15.0,22
7,Male,58,28.2,26
186,Female,31,75.0,21
174,Female,22,80.7,11
31,Male,39,23.7,26
23,Male,22,33.3,33
257,Male,40,53.3,59
57,Male,25,28.9,22
187,Female,58,84.5,26
109,Male,53,65.8,86
127,Female,47,85.5,73
231,Female,26,47.7,63
194,Male,42,60.9,1
130,Female,40,85.4,76
283,Female,40,47.7,59
83,Male,18,90.4,71
85,Female,36,67.5,75
67,Female,24,15.0,26
289,Male,33,31.1,47
164,Male,48,104.3,19
155,Male,44,81.0,18
20,Male,26,28.7,9
125,Female,44,75.8,98
80,Female,45,75.0,85
115,Female,40,92.7,85
119,Female,18,64.2,76
73,Male,27,24.1,29
16,Female,36,15.0,12
11,Female,32,28.1,13
195,Female,28,75.1,14
102,Female,32,92.7,69
69,Female,41,15.0,20
225,Male,33,89.6,16
38,Female,22,34.7,21
17,Male,44,32.5,17
180,Male,49,53.3,31
148,Female,33,79.8,94
275,Female,36,29.6,60
68,Female,27,17.7,20
229,Male,37,67.7,45
70,Female,44,32.7,20
32,Female,18,19.7,23
184,Male,44,65.0,18
266,Female,30,41.9,61
226,Male,61,32.5,50
141,Female,31,47.4,62
19,Female,33,21.7,35
182,Male,45,93.6,20
97,Male,39,82.5,77
133,Female,22,83.0,81
263,Male,46,54.2,56
87,Male,28,70.7,87
249,Male,46,47.9,51
246,Female,33,49.9,50
117,Female,44,69.4,60
147,Male,43,82.8,69
293,Female,51,58.8,49
198,Male,52,78.9,11
207,Male,35,70.0,25
56,Female,34,47.3,24
173,Female,44,75.6,32
185,Female,47,77.4,27
