CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster
204,Female,30,74.1,27,2
267,Male,45,35.1,52,0
153,Female,36,68.5,25,2
10,Male,51,34.0,28,0
234,Female,23,47.2,53,1
227,Male,43,34.8,51,0
197,Female,39,85.7,41,2
110,Female,35,73.3,71,1
6,Female,37,26.8,18,0
176,Female,38,77.9,34,2
238,Female,33,37.3,67,1
58,Female,41,24.0,28,0
219,Female,27,84.1,43,1
46,Female,23,25.9,25,0
183,Male,54,89.1,10,2
222,Male,51,91.0,27,2
290,Male,18,59.0,66,1
212,Female,34,74.4,24,2
149,Female,24,72.7,69,1
166,Male,36,72.4,13,2
79,Female,18,59.4,93,1
114,Male,28,67.2,73,1
250,Male,44,48.5,44,0
251,Female,48,66.2,34,2
105,Male,38,93.4,76,1
43,Male,31,29.4,34,0
282,Female,50,75.2,33,2
296,Female,31,59.2,58,1
158,Female,47,68.0,30,2
239,Male,28,62.8,49,1
18,Male,32,23.7,35,0
165,Male,47,75.8,28,2
34,Male,57,24.4,22,0
25,Female,27,21.0,33,0
216,Female,54,96.7,25,2
120,Male,33,79.1,97,1
8,Male,30,22.7,24,0
91,Male,27,88.9,93,1
47,Male,40,34.7,27,0
74,Female,42,15.0,21,0
94,Female,31,70.1,87,1
77,Female,37,84.3,68,1
287,Female,25,46.8,43,0
61,Female,36,28.1,17,0
78,Female,33,68.4,88,1
64,Female,44,28.6,41,0
235,Female,45,51.3,56,1
230,Male,54,59.9,45,2
112,Male,21,65.9,69,1
232,Male,39,62.8,59,1
181,Male,39,67.2,21,2
145,Female,27,57.9,71,1
240,Female,39,51.8,67,1
76,Female,48,60.8,80,1
298,Male,32,62.7,58,1
279,Male,48,63.1,49,2
98,Male,25,78.9,94,1
93,Male,45,75.3,84,1
193,Female,32,59.8,32,2
26,Female,37,21.7,12,0
233,Male,45,54.6,51,2
60,Female,31,15.0,22,0
7,Male,58,28.2,26,0
186,Female,31,75.0,21,2
174,Female,22,80.7,11,2
31,Male,39,23.7,26,0
23,Male,22,33.3,33,0
257,Male,40,53.3,59,1
57,Male,25,28.9,22,0
187,Female,58,84.5,26,2
109,Male,53,65.8,86,1
127,Female,47,85.5,73,1
231,Female,26,47.7,63,1
194,Male,42,60.9,1,2
130,Female,40,85.4,76,1
283,Female,40,47.7,59,1
83,Male,18,90.4,71,1
85,Female,36,67.5,75,1
67,Female,24,15.0,26,0
289,Male,33,31.1,47,0
164,Male,48,104.3,19,2
155,Male,44,81.0,18,2
20,Male,26,28.7,9,0
125,Female,44,75.8,98,1
80,Female,45,75.0,85,1
115,Female,40,92.7,85,1
119,Female,18,64.2,76,1
73,Male,27,24.1,29,0
16,Female,36,15.0,12,0
11,Female,32,28.1,13,0
195,Female,28,75.1,14,2
102,Female,32,92.7,69,1
69,Female,41,15.0,20,0
225,Male,33,89.6,16,2
38,Female,22,34.7,21,0
17,Male,44,32.5,17,0
180,Male,49,53.3,31,2
148,Female,33,79.8,94,1
275,Female,36,29.6,60,0
68,Female,27,17.7,20,0
229,Male,37,67.7,45,2
70,Female,44,32.7,20,0
32,Female,18,19.7,23,0
184,Male,44,65.0,18,2
266,Female,30,41.9,61,1
226,Male,61,32.5,50,0
141,Female,31,47.4,62,1
19,Female,33,21.7,35,0
182,Male,45,93.6,20,2
97,Male,39,82.5,77,1
133,Female,22,83.0,81,1
263,Male,46,54.2,56,1
87,Male,28,70.7,87,1
249,Male,46,47.9,51,0
246,Female,33,49.9,50,1
117,Female,44,69.4,60,1
147,Male,43,82.8,69,1
293,Female,51,58.8,49,2
198,Male,52,78.9,11,2
207,Male,35,70.0,25,2
56,Female,34,47.3,24,0
173,Female,44,75.6,32,2
185,Female,47,77.4,27,2
168,Male,43,86.4,30,2
140,Male,28,77.1,78,1
254,Male,32,72.4,44,1
39,Male,30,32.4,40,0
126,Male,49,80.0,91,1
196,Male,40,64.9,27,2
284,Male,44,46.3,52,0
138,Female,23,60.4,66,1
113,Female,37,97.5,87,1
169,Female,45,73.4,27,2
118,Male,46,78.1,90,1
278,Male,33,58.3,46,1
272,Female,34,57.5,62,1
156,Male,37,84.2,32,2
177,Male,43,80.7,20,2
179,Female,55,82.4,21,2
3,Male,37,33.1,19,0
116,Female,32,60.2,79,1
144,Female,42,61.0,61,1
178,Female,34,72.5,28,2
121,Female,34,75.6,73,1
211,Female,26,97.4,13,2
261,Male,33,60.4,59,1
128,Female,30,75.6,80,1
75,Female,43,35.1,28,0
30,Female,32,40.6,23,0
84,Male,53,80.4,89,1
270,Female,40,55.6,44,2
108,Male,34,69.3,72,1
224,Female,43,75.5,35,2
159,Male,37,74.6,11,2
281,Male,35,53.5,38,0
247,Female,28,39.5,30,0
223,Female,45,51.9,21,2
66,Male,69,20.6,23,0
199,Male,34,76.2,25,2
86,Male,29,61.5,90,1
214,Female,57,74.1,27,2
160,Male,49,86.4,25,2
13,Female,41,26.4,23,0
36,Female,34,18.9,26,0
29,Male,37,27.1,25,0
143,Male,41,63.1,78,1
285,Female,39,57.1,51,1
255,Male,59,59.4,42,2
171,Female,39,92.3,18,2
52,Female,43,30.1,52,0
96,Male,29,57.7,80,1
209,Male,39,73.9,31,2
248,Female,27,43.5,60,1
42,Male,48,28.9,33,0
90,Male,39,67.6,81,1
245,Female,33,64.5,69,1
137,Female,33,62.6,72,1
27,Male,47,26.4,22,0
294,Male,38,50.6,43,0
142,Male,46,72.0,79,1
201,Male,43,76.4,19,2
1,Male,39,23.9,30,0
269,Female,40,65.8,50,1
273,Male,48,34.8,45,0
101,Male,20,58.1,70,1
260,Male,37,50.4,63,1
256,Male,39,35.1,44,0
172,Male,21,52.4,38,0
99,Female,39,91.3,73,1
37,Female,42,17.7,37,0
62,Male,36,15.8,37,0
151,Female,42,79.4,21,2
237,Male,38,50.3,62,1
203,Female,54,48.7,6,2
243,Male,44,50.5,65,1
12,Male,44,27.6,12,0
297,Female,50,59.2,52,2
268,Male,38,47.8,54,1
28,Male,41,31.8,13,0
220,Female,48,71.8,27,2
5,Female,19,20.5,15,0
123,Female,21,81.4,88,1
33,Female,18,24.8,25,0
205,Male,29,69.4,15,2
163,Male,36,86.4,34,2
210,Male,45,75.0,15,2
286,Female,50,66.4,68,1
